Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c00050qe,5,"Tuesday, July 19, 2011 21:07:40 UTC",36.5693,144.5137,4.8,11.10,56,"off the east coast of Honshu, Japan"
ak,10272612,1,"Tuesday, July 19, 2011 21:06:08 UTC",63.6144,-147.5239,1.3,0.40, 9,"Central Alaska"
ak,10272609,2,"Tuesday, July 19, 2011 21:00:06 UTC",51.5239,-177.7540,3.0,18.60,17,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15020724,2,"Tuesday, July 19, 2011 20:50:42 UTC",33.4867,-116.5697,1.0,9.80,40,"Southern California"
ci,15020716,2,"Tuesday, July 19, 2011 20:42:25 UTC",33.4828,-116.5717,1.6,9.70,52,"Southern California"
nc,71603875,2,"Tuesday, July 19, 2011 20:39:58 UTC",37.3243,-122.1052,1.4,0.00,15,"San Francisco Bay area, California"
ak,10272580,2,"Tuesday, July 19, 2011 20:15:43 UTC",51.6213,-177.7755,3.4,24.80,19,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15020668,2,"Tuesday, July 19, 2011 20:13:35 UTC",32.8622,-115.4927,1.5,13.20,20,"Southern California"
ci,15020660,2,"Tuesday, July 19, 2011 20:07:50 UTC",32.8685,-115.5073,2.8,11.80,33,"Southern California"
ci,15020652,2,"Tuesday, July 19, 2011 20:05:24 UTC",35.0818,-119.0003,1.8,22.80,27,"Central California"
ak,10272546,1,"Tuesday, July 19, 2011 19:36:00 UTC",63.0597,-151.5426,1.5,0.00, 7,"Central Alaska"
us,c00050ll,F,"Tuesday, July 19, 2011 19:35:43 UTC",40.1513,71.4264,6.1,16.00,453,"Kyrgyzstan"
nc,71603835,1,"Tuesday, July 19, 2011 18:52:38 UTC",38.8310,-122.8782,1.7,2.00,26,"Northern California"
uu,07191834,2,"Tuesday, July 19, 2011 18:34:28 UTC",39.6705,-110.3970,1.5,1.00, 8,"Utah"
us,c00050k4,7,"Tuesday, July 19, 2011 18:20:31 UTC",-25.1144,178.5301,5.0,588.20,236,"south of the Fiji Islands"
nc,71603810,2,"Tuesday, July 19, 2011 18:18:16 UTC",36.6630,-121.2837,1.3,4.80,27,"Central California"
ci,15020620,2,"Tuesday, July 19, 2011 18:10:57 UTC",33.7600,-116.9275,1.5,14.30,39,"Southern California"
ci,15020612,2,"Tuesday, July 19, 2011 17:55:26 UTC",33.2013,-116.0437,1.7,13.00,25,"Southern California"
nn,00343408,8,"Tuesday, July 19, 2011 17:25:46 UTC",40.0629,-119.6513,2.0,14.90, 9,"Nevada"
ak,10272413,2,"Tuesday, July 19, 2011 17:23:53 UTC",63.5608,-148.0237,1.0,0.60,12,"Central Alaska"
ak,10272409,2,"Tuesday, July 19, 2011 17:13:28 UTC",60.2208,-152.3559,1.6,64.50,14,"Southern Alaska"
nc,71603775,1,"Tuesday, July 19, 2011 17:03:50 UTC",38.8255,-122.8543,1.5,2.20,26,"Northern California"
ak,10272388,1,"Tuesday, July 19, 2011 16:28:45 UTC",61.6644,-149.7079,1.4,32.80, 7,"Southern Alaska"
ak,10272383,1,"Tuesday, July 19, 2011 16:22:08 UTC",61.9498,-148.5104,1.4,32.70,10,"Southern Alaska"
nc,71603750,2,"Tuesday, July 19, 2011 16:20:56 UTC",35.5528,-120.8570,1.3,4.30,58,"Central California"
ci,15020564,2,"Tuesday, July 19, 2011 15:58:47 UTC",35.1818,-118.2493,1.5,0.00, 4,"Southern California"
pr,11200007,0,"Tuesday, July 19, 2011 15:54:56 UTC",18.9750,-65.1869,3.0,25.00, 4,"Puerto Rico region"
pr,11200005,0,"Tuesday, July 19, 2011 15:51:47 UTC",18.8990,-65.1819,3.1,48.00, 4,"Puerto Rico region"
